keyword ,answer_en,answer_ta,answer_hi,answer_ma,answer_be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tomato planting season,when to plant tomato,best time to sow tomato",Plant tomatoes at the start of the warm season: in spring for temperate regions and just after the last frost. Use seedlings and transplant when they have 4–6 true leaves; maintain warm days (25–30°C) for best growth.,"??????? ????????? ????? ???? ???????????? ???????????: ?????? ?????????? ???????????, ????? ????????????? ????? ??????? ????????. 4–6 ???????? ?????? ????????? ???? ?????? ?????; 25–30°C ???? ??????????? ?????????????.",????? ?? ????? ???? ???? ?? ?????? ??? ????: ????????? ????????? ??? ???? ??? ?? ????? ??? ?? ??? ???? ????? 4–6 ???? ???????? ???? ????? ?? ???????????? ????; ??? ?? ?????? 25–30°C ?????,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????? ???? ???? ????? ???? ?????? ???? ?????: ???????? ?????? ?????? ??? ??? ??????? ??? ???? ??????? ???? ??? ??? ????? ?–??? ??? ???? ????? ??? ??????????? ????; ???? ??????? ???? ????? ????????? ??–??°C ??????,,,,,,,,,,,,,,,,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.,????? ??????????? ????? ????? ???? ???????? ??? ????: ???????????? ????? ???? ???? ??? ???? ???????????? ????. ??????? ?????????? ??????? ???? ???? ????? ??? ?????? ???????????? ?–? ????? ??????? ???? ???? ?????? ??????????? ???; ????????? ???????? ??????? ?????? ??–??°C ????.
"tomato weather,best weather for tomato,tomato climate","Tomatoes prefer warm, sunny days (25–30°C) and cool nights (18–20°C). Avoid frost and prolonged heavy rains which can cause blossom drop and disease.",??????????? 25–30°C ???? ????????? ??????? 18–20°C ???? ????????? ??????????. ??? ??????? ????? ????? ????????????; ??? ???????? ????????? ??????? ??????? ???????????.,????? ?? 25–30°C ??? ?? 18–20°C ??? ?? ?????? ???? ???? ????????? ?? ?????? ???? ????? ?? ?????,"????? ?????, ??????????? ???? (??–??°C) ??? ??? ?????? (??–??°C) ???? ?????. ???????????? ??? ????? ??? ?????????? ???? ???, ???? ?????? ???? ????? ????? ??? ??? ??? ????.","????? ????, ???????????? ??? (??–??°C) ??? ?????? ??? (??–??°C) ????? ???? ??? ?? ????? ???? ??? ???? ?????? ?????, ???? ?? ??? ??? ????? ???? ??? ????? ???????? ?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tomato irrigation,how to irrigate tomato,water for tomato",Irrigate tomatoes regularly to keep soil evenly moist; avoid waterlogging. Use drip irrigation for water efficiency and water at the base to reduce foliar diseases.,??????????? ??? ????? ???????? ???????????? ???????????; ???? ??????? ??????????????. ???? ?????????? ?????? ?????? ???????????; ??? ??????? ??????? ???????????? ???? ?????????.,????? ?? ?????? ??? ?? ?????? ???? ?????? ???? ??? ?? ?? ???; ?????? ? ???? ???? ????? ?????? ?????? ?? ?? ???????? ?? ???? ? ??????,????? ????????? ???? ???? ???????? ???? ????? ???? ?????; ???????? ??? ??? ??? ???. ???????? ???? ???????? ????? ????? ????? ??? ???? ???? ??? ??? ?????? ???? ?????? ???? ????.,????? ??????????? ???? ??? ???? ???? ???????? ?????? ????; ????????? ?????? ???? ????????? ???? ????? ??? ??????? ???? ??? ?????? ??? ????? ???? ????? ???? ???? ????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tomato fertilizer,fertilizer for tomato,tomato nutrients","Apply balanced fertilizer based on soil test. A typical schedule is N-P-K split applications, avoiding excess nitrogen near harvest; organic compost improves fruit quality.",??? ????? ???????????? ?????? ???? ??????????????. ??????? N-P-K ????????????? ???? ?????????? ????????; ?????????? ??????? ???? ?????????? ????????????; ????????? ???????? ?????? ?????????????.,?????? ??????? ?? ???? ?? ??????? ?????? ???? ????????? N-P-K ?? ??????? ?????? ??? ???; ???? ?? ??? ???? ????????? ?? ????; ????? ??? ?? ?? ???????? ?????? ???,"???????? ??????????? ??????? ?? ????. ??????? ????????? ?????? N-P-K ????? ?????? ?????, ????????? ??? ????? ????????? ?????; ???????? ??????? ????? ???????? ???????.","????? ???????? ??? ?????? ??? ??????? ??? ??????? ????? ???? ?????? ???????? ?? N-P-K ??? ??? ??? ??????, ??? ???????? ???????? ???????? ?????????? ??????? ???; ??? ???????? ???? ??? ????? ????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tomato pests,tomato diseases,tomato pest management","Common pests: fruit borer, whitefly and leaf miner. Use integrated pest management: monitor, use pheromone traps, neem oil, and release beneficial insects. Remove severely infested plants.","??????? ?????????: ???????????, ?????? ?, ??? ?????????. ???????????? ?????? ???????? (IPM) ??????????????: ???????????, ???????? ?????????, ???? ??????? ??????? ??????? ????????? ????? ?????????.","?? ???: ?? ????, ???? ?????, ????? ??? ???? ????? IPM ??????: ?????????, ??????? ?????, ??? ??? ?? ?????? ??? ???????","??????? ???: ?? ????, ?????? ????? ??? ??? ?????? ???. ??????? ???? ?????????? ?????: ???????? ???, ??????? ??????? ?????, ??? ??? ????, ??? ?????? ???? ????. ????? ???????? ???????? ?????? ???? ????? ????.","?????? ???: ?? ?????, ???? ???? ??? ???? ?????? ???? ??????? ??? ??????????? ??????? ????: ????? ????, ????????? ???? ??????? ????, ??? ??? ??????? ???? ??? ?????? ??? ?????? ???? ???? ??? ???????????? ???????? ?????? ?? ?????",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brinjal planting,eggplant planting season,when to plant brinjal",Plant brinjal in warm seasons; seedlings transplant after 6–8 weeks. Keep spacing to allow airflow and reduce fungal issues.,??????? ????? ??????????? ???????????; 6–8 ???????? ??????? ?????? ?????. ??????????? ????? ??????? ?????????.,????? ???? ???? ??? ?????; 6–8 ?????? ??? ???????????? ????? ??? ?? ?????? ????????? ???? ?? ??? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"brinjal pests,eggplant pests,brinjal fruit borer","Brinjal fruit borer is serious: adopt pheromone traps, timely insecticide application as per extension advice, and remove infested fruits. Crop rotation helps long-term control.",????????? ??????????? ????????: ???????? ????????? ??????? ??????????? ????? ????????? ???????? ?????? ???????????; ????????????? ??????? ??????.,????? ??? ?? ???? ??????: ??????? ????? ?? ??? ?? ??????? ?? ????? ????; ???????? ???? ?? ??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"okra planting,ladies finger planting,when to plant okra",Okra grows well in warm weather; sow seeds in rows after the last frost and thin seedlings for proper spacing. Regular weeding and mulching improve yields.,???????? ?????????? ???????? ???????? ??????; ????? ????????????? ????????? ??????? ?????????? ??????? ????????? ??? ????? ?????????.,????? ???? ???? ??? ????? ???? ??; ????? ??? ?? ??? ????? ???? ?? ???? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"okra pests,okra disease,lady finger pests",Common problems: aphids and fruit borers. Use neem spray and maintain good field hygiene. Intercropping with maize can reduce pest pressure.,??????? ???????????: ???????? ??????? ???????????. ???? ???????? ??????? ????? ?????????? ?????????.,?? ?? ????????: ?????? ?? ?? ????? ??? ?? ??????? ???? ?? ??? ?? ???? ?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"potato planting,when to plant potato,potato sowing time","Plant potatoes in cool seasons with well-drained loamy soils. Use certified seed tubers, plant at correct depth, and hill soil around stems after emergence.",?????? ?????????? ?????? ??????? ????? ???? ??????? ?????????????? ???????? ???????????. ???????? ???????? ??????? ??????????????.,??? ???? ???? ??? ????? ??????? ???? ??; ???????? ??? ????? ?? ????? ???? ?? ??? ????? ?? ??????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
